energies,photon,gluon,higgs,W,Z,neutrino,electron,muon,tau,up,down,charm,strange,top,bottom,graviton
0.0137827,1.50153e-29,0.0,0.0,0.0,0.0,4.25186e-29,2.83458e-29,0.0,0.0,8.50373e-29,8.50373e-29,0.0,0.0,0.0,0.0,1.63925e-29
0.0139844,2.37285e-30,0.0,0.0,0.0,0.0,6.75197e-30,4.50132e-30,0.0,0.0,1.35039e-29,1.35039e-29,0.0,0.0,0.0,0.0,2.60614e-30
0.0141889,3.81438e-31,0.0,0.0,0.0,0.0,1.09436e-30,7.29576e-31,0.0,0.0,2.18873e-30,2.18873e-30,0.0,0.0,0.0,0.0,4.25199e-31
0.0143965,6.28096e-32,0.0,0.0,0.0,0.0,1.81182e-31,1.20788e-31,0.0,0.0,3.62364e-31,3.62364e-31,0.0,0.0,0.0,0.0,7.11306e-32
0.0146071,1.03058e-32,0.0,0.0,0.0,0.0,2.96579e-32,1.97719e-32,0.0,0.0,5.93158e-32,5.93158e-32,0.0,0.0,0.0,0.0,1.17571e-32
0.0148208,1.60899e-33,0.0,0.0,0.0,0.0,4.58413e-33,3.05609e-33,0.0,0.0,9.16826e-33,9.16826e-33,0.0,0.0,0.0,0.0,1.82592e-33
0.0150376,2.31282e-34,0.0,0.0,0.0,0.0,6.51234e-34,4.34156e-34,0.0,0.0,1.30247e-33,1.30247e-33,0.0,0.0,0.0,0.0,2.59139e-34
0.0152576,3.07948e-35,0.0,0.0,0.0,0.0,8.62349e-35,5.749e-35,0.0,0.0,1.7247e-34,1.7247e-34,0.0,0.0,0.0,0.0,3.421e-35
0.0154808,3.96807e-36,0.0,0.0,0.0,0.0,1.11644e-35,7.44296e-36,0.0,0.0,2.23289e-35,2.23289e-35,0.0,0.0,0.0,0.0,4.43148e-36
0.0157073,5.20198e-37,0.0,0.0,0.0,0.0,1.47983e-36,9.86551e-37,0.0,0.0,2.95965e-36,2.95965e-36,0.0,0.0,0.0,0.0,5.91724e-37
0.0159371,7.04778e-38,0.0,0.0,0.0,0.0,2.0202e-37,1.3468e-37,0.0,0.0,4.04039e-37,4.04039e-37,0.0,0.0,0.0,0.0,8.17459e-38
0.0161702,9.52457e-39,0.0,0.0,0.0,0.0,2.71987e-38,1.81324e-38,0.0,0.0,5.43973e-38,5.43973e-38,0.0,0.0,0.0,0.0,1.11174e-38
0.0164068,1.20767e-39,0.0,0.0,0.0,0.0,3.40079e-39,2.26719e-39,0.0,0.0,6.80157e-39,6.80157e-39,0.0,0.0,0.0,0.0,1.39441e-39
0.0166468,1.38624e-40,0.0,0.0,0.0,0.0,3.8508e-40,2.5672e-40,0.0,0.0,7.70159e-40,7.70159e-40,0.0,0.0,0.0,0.0,1.57425e-40
0.0168903,1.47576e-41,0.0,0.0,0.0,0.0,4.09206e-41,2.72804e-41,0.0,0.0,8.18412e-41,8.18412e-41,0.0,0.0,0.0,0.0,1.66902e-41
0.0171374,1.55769e-42,0.0,0.0,0.0,0.0,4.36903e-42,2.91269e-42,0.0,0.0,8.73806e-42,8.73806e-42,0.0,0.0,0.0,0.0,1.791e-42
0.0173881,1.71206e-43,0.0,0.0,0.0,0.0,4.8662e-43,3.24413e-43,0.0,0.0,9.7324e-43,9.7324e-43,0.0,0.0,0.0,0.0,2.0197e-43
0.0176425,1.92255e-44,0.0,0.0,0.0,0.0,5.46701e-44,3.64467e-44,0.0,0.0,1.0934e-43,1.0934e-43,0.0,0.0,0.0,0.0,2.29722e-44
0.0179006,2.04715e-45,0.0,0.0,0.0,0.0,5.73244e-45,3.82163e-45,0.0,0.0,1.14649e-44,1.14649e-44,0.0,0.0,0.0,0.0,2.41937e-45
0.0181625,1.94934e-46,0.0,0.0,0.0,0.0,5.3623e-46,3.57487e-46,0.0,0.0,1.07246e-45,1.07246e-45,0.0,0.0,0.0,0.0,2.25539e-46
0.0184282,1.69454e-47,0.0,0.0,0.0,0.0,4.64911e-47,3.0994e-47,0.0,0.0,9.29821e-47,9.29821e-47,0.0,0.0,0.0,0.0,1.95061e-47
0.0186978,1.46261e-48,0.0,0.0,0.0,0.0,4.07367e-48,2.71578e-48,0.0,0.0,8.14733e-48,8.14733e-48,0.0,0.0,0.0,0.0,1.7212e-48
0.0189713,1.32915e-49,0.0,0.0,0.0,0.0,3.7587e-49,2.5058e-49,0.0,0.0,7.51739e-49,7.51739e-49,0.0,0.0,0.0,0.0,1.61171e-49
0.0192488,1.22555e-50,0.0,0.0,0.0,0.0,3.45085e-50,2.30057e-50,0.0,0.0,6.9017e-50,6.9017e-50,0.0,0.0,0.0,0.0,1.49682e-50
0.0195304,1.03939e-51,0.0,0.0,0.0,0.0,2.86274e-51,1.9085e-51,0.0,0.0,5.72549e-51,5.72549e-51,0.0,0.0,0.0,0.0,1.24229e-51
0.0198161,7.73726e-53,0.0,0.0,0.0,0.0,2.09738e-52,1.39826e-52,0.0,0.0,4.19477e-52,4.19477e-52,0.0,0.0,0.0,0.0,9.05547e-53
0.020106,5.40266e-54,0.0,0.0,0.0,0.0,1.47763e-53,9.85086e-54,0.0,0.0,2.95526e-53,2.95526e-53,0.0,0.0,0.0,0.0,6.3958e-54
0.0204002,3.92842e-55,0.0,0.0,0.0,0.0,1.09829e-54,7.32191e-55,0.0,0.0,2.19657e-54,2.19657e-54,0.0,0.0,0.0,0.0,4.82285e-55
0.0206986,3.00112e-56,0.0,0.0,0.0,0.0,8.42844e-56,5.61896e-56,0.0,0.0,1.68569e-55,1.68569e-55,0.0,0.0,0.0,0.0,3.75697e-56
0.0210014,2.16309e-57,0.0,0.0,0.0,0.0,5.93828e-57,3.95885e-57,0.0,0.0,1.18766e-56,1.18766e-56,0.0,0.0,0.0,0.0,2.65403e-57
0.0213086,1.34787e-58,0.0,0.0,0.0,0.0,3.6177e-58,2.4118e-58,0.0,0.0,7.23541e-58,7.23541e-58,0.0,0.0,0.0,0.0,1.60726e-58
0.0216204,7.68402e-60,0.0,0.0,0.0,0.0,2.07812e-59,1.38542e-59,0.0,0.0,4.15625e-59,4.15625e-59,0.0,0.0,0.0,0.0,9.25166e-60
0.0219366,4.56574e-61,0.0,0.0,0.0,0.0,1.26763e-60,8.45084e-61,0.0,0.0,2.53525e-60,2.53525e-60,0.0,0.0,0.0,0.0,5.73555e-61
0.0222576,2.87586e-62,0.0,0.0,0.0,0.0,8.01606e-62,5.34404e-62,0.0,0.0,1.60321e-61,1.60321e-61,0.0,0.0,0.0,0.0,3.68352e-62
0.0225832,1.682e-63,0.0,0.0,0.0,0.0,4.55486e-63,3.03657e-63,0.0,0.0,9.10972e-63,9.10972e-63,0.0,0.0,0.0,0.0,2.09302e-63
0.0229135,8.35108e-65,0.0,0.0,0.0,0.0,2.21409e-64,1.47606e-64,0.0,0.0,4.42817e-64,4.42817e-64,0.0,0.0,0.0,0.0,1.01089e-64
0.0232488,3.8828e-66,0.0,0.0,0.0,0.0,1.04864e-65,6.9909e-66,0.0,0.0,2.09727e-65,2.09727e-65,0.0,0.0,0.0,0.0,4.82431e-66
0.0235889,1.94538e-67,0.0,0.0,0.0,0.0,5.39804e-67,3.59869e-67,0.0,0.0,1.07961e-66,1.07961e-66,0.0,0.0,0.0,0.0,2.53411e-67
0.0239339,9.99967e-69,0.0,0.0,0.0,0.0,2.73848e-68,1.82565e-68,0.0,0.0,5.47695e-68,5.47695e-68,0.0,0.0,0.0,0.0,1.29815e-68
0.0242841,4.44514e-70,0.0,0.0,0.0,0.0,1.17361e-69,7.82408e-70,0.0,0.0,2.34723e-69,2.34723e-69,0.0,0.0,0.0,0.0,5.52492e-70
0.0246393,1.70113e-71,0.0,0.0,0.0,0.0,4.49245e-71,2.99496e-71,0.0,0.0,8.98489e-71,8.98489e-71,0.0,0.0,0.0,0.0,2.11483e-71
0.0249998,6.72075e-73,0.0,0.0,0.0,0.0,1.83892e-72,1.22595e-72,0.0,0.0,3.67785e-72,3.67785e-72,0.0,0.0,0.0,0.0,8.82879e-73
0.0253655,2.87592e-74,0.0,0.0,0.0,0.0,7.89142e-74,5.26094e-74,0.0,0.0,1.57828e-73,1.57828e-73,0.0,0.0,0.0,0.0,3.85e-74
0.0257366,1.10561e-75,0.0,0.0,0.0,0.0,2.911e-75,1.94067e-75,0.0,0.0,5.82201e-75,5.82201e-75,0.0,0.0,0.0,0.0,1.41251e-75
0.0261131,3.51788e-77,0.0,0.0,0.0,0.0,9.15714e-77,6.10476e-77,0.0,0.0,1.83143e-76,1.83143e-76,0.0,0.0,0.0,0.0,4.42838e-77
0.0264951,1.12062e-78,0.0,0.0,0.0,0.0,3.03316e-78,2.02211e-78,0.0,0.0,6.06633e-78,6.06633e-78,0.0,0.0,0.0,0.0,1.49644e-78
0.0268827,3.94498e-80,0.0,0.0,0.0,0.0,1.07659e-79,7.17724e-80,0.0,0.0,2.15317e-79,2.15317e-79,0.0,0.0,0.0,0.0,5.40824e-80
0.027276,1.25206e-81,0.0,0.0,0.0,0.0,3.26219e-81,2.17479e-81,0.0,0.0,6.52438e-81,6.52438e-81,0.0,0.0,0.0,0.0,1.62787e-81
0.027675,3.23761e-83,0.0,0.0,0.0,0.0,8.35487e-83,5.56992e-83,0.0,0.0,1.67097e-82,1.67097e-82,0.0,0.0,0.0,0.0,4.16044e-83
0.0280799,8.53215e-85,0.0,0.0,0.0,0.0,2.3042e-84,1.53613e-84,0.0,0.0,4.6084e-84,4.6084e-84,0.0,0.0,0.0,0.0,1.17524e-84
0.0284906,2.4782e-86,0.0,0.0,0.0,0.0,6.67167e-86,4.44778e-86,0.0,0.0,1.33433e-85,1.33433e-85,0.0,0.0,0.0,0.0,3.45223e-86
0.0289074,6.15326e-88,0.0,0.0,0.0,0.0,1.57158e-87,1.04772e-87,0.0,0.0,3.14315e-87,3.14315e-87,0.0,0.0,0.0,0.0,8.04377e-88
0.0293303,1.26986e-89,0.0,0.0,0.0,0.0,3.28444e-89,2.18963e-89,0.0,0.0,6.56888e-89,6.56888e-89,0.0,0.0,0.0,0.0,1.69264e-89
0.0297594,2.87084e-91,0.0,0.0,0.0,0.0,7.77291e-91,5.18194e-91,0.0,0.0,1.55458e-90,1.55458e-90,0.0,0.0,0.0,0.0,4.12005e-91
0.0301948,6.68363e-93,0.0,0.0,0.0,0.0,1.74451e-92,1.16301e-92,0.0,0.0,3.48902e-92,3.48902e-92,0.0,0.0,0.0,0.0,9.25779e-93
