Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton
    1.46618e-07    1.89311e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.18222e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.11821e-19
    1.49450e-07    2.00210e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.22672e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.43347e-19
    1.52337e-07    2.11737e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.27290e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.78060e-19
    1.55280e-07    2.23927e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.32082e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.16284e-19
    1.58279e-07    2.36819e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.37054e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.58371e-19
    1.61337e-07    2.50454e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.42213e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.04714e-19
    1.64453e-07    2.64873e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.47567e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.55743e-19
    1.67630e-07    2.80123e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.53122e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.11930e-19
    1.70868e-07    2.96250e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.58886e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.73798e-19
    1.74169e-07    3.13306e-01    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.64868e+08    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.41922e-19
