Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    9.63800e-05    1.11082e+26    0.00000e+00    2.98877e+25    2.47051e+21    1.09116e+13    0.00000e+00
    1.01400e-04    1.06374e+26    0.00000e+00    3.18489e+25    2.92572e+21    1.20362e+13    0.00000e+00
    1.06700e-04    1.02286e+26    0.00000e+00    3.37377e+25    3.28569e+21    1.32811e+13    0.00000e+00
    1.12200e-04    9.72611e+25    0.00000e+00    3.58477e+25    3.81800e+21    1.46341e+13    0.00000e+00
    1.18100e-04    9.21843e+25    0.00000e+00    3.75504e+25    4.53436e+21    1.61575e+13    0.00000e+00
    1.24200e-04    8.80265e+25    0.00000e+00    3.95347e+25    5.14839e+21    1.78083e+13    0.00000e+00
    1.30700e-04    8.35311e+25    0.00000e+00    4.14724e+25    6.04981e+21    1.96509e+13    0.00000e+00
    1.37500e-04    7.93979e+25    0.00000e+00    4.33685e+25    9.07605e+21    2.16746e+13    0.00000e+00
    1.44700e-04    7.54799e+25    0.00000e+00    4.58614e+25    1.01893e+22    2.39202e+13    0.00000e+00
    1.52200e-04    7.19132e+25    0.00000e+00    4.77273e+25    9.97042e+21    2.63706e+13    0.00000e+00
    1.60100e-04    6.81531e+25    0.00000e+00    4.98891e+25    1.13295e+22    2.90802e+13    0.00000e+00
    1.68400e-04    6.52199e+25    0.00000e+00    5.20671e+25    1.30677e+22    3.20619e+13    0.00000e+00
    1.77200e-04    6.25477e+25    0.00000e+00    5.38512e+25    1.51950e+22    3.53748e+13    0.00000e+00
    1.86400e-04    5.92930e+25    0.00000e+00    5.59380e+25    1.80428e+22    3.90101e+13    0.00000e+00
    1.96100e-04    5.59633e+25    0.00000e+00    5.76054e+25    2.08951e+22    4.30249e+13    0.00000e+00
    2.06400e-04    5.34538e+25    0.00000e+00    5.95513e+25    2.66772e+22    4.74946e+13    0.00000e+00
    2.17100e-04    5.10546e+25    0.00000e+00    6.09140e+25    3.19097e+22    5.23677e+13    0.00000e+00
    2.28400e-04    4.89994e+25    0.00000e+00    6.21503e+25    3.44025e+22    5.77580e+13    0.00000e+00
    2.40300e-04    4.64985e+25    0.00000e+00    6.34853e+25    4.61189e+22    6.37100e+13    0.00000e+00
    2.52800e-04    4.40341e+25    0.00000e+00    6.48986e+25    4.74576e+22    7.02688e+13    0.00000e+00
    2.66000e-04    4.21588e+25    0.00000e+00    6.54831e+25    5.23297e+22    7.75247e+13    0.00000e+00
    2.79800e-04    4.01709e+25    0.00000e+00    6.67910e+25    6.33128e+22    8.54803e+13    0.00000e+00
    2.94400e-04    3.81077e+25    0.00000e+00    6.71306e+25    6.89334e+22    9.43073e+13    0.00000e+00
    3.09700e-04    3.63048e+25    0.00000e+00    6.74591e+25    8.52833e+22    1.03997e+14    0.00000e+00
    3.25900e-04    3.48647e+25    0.00000e+00    6.72020e+25    9.78997e+22    1.14762e+14    0.00000e+00
    3.42800e-04    3.32336e+25    0.00000e+00    6.68696e+25    1.09033e+23    1.26537e+14    0.00000e+00
    3.60700e-04    3.14350e+25    0.00000e+00    6.66996e+25    1.29604e+23    1.39600e+14    0.00000e+00
    3.79500e-04    3.00178e+25    0.00000e+00    6.55323e+25    1.41907e+23    1.54000e+14    0.00000e+00
    3.99200e-04    2.87148e+25    0.00000e+00    6.49048e+25    1.57394e+23    1.69815e+14    0.00000e+00
    4.20000e-04    2.72748e+25    0.00000e+00    6.35770e+25    1.87473e+23    1.87307e+14    0.00000e+00
    4.41900e-04    2.59759e+25    0.00000e+00    6.20426e+25    2.05258e+23    2.06639e+14    0.00000e+00
    4.64900e-04    2.48974e+25    0.00000e+00    6.04070e+25    2.33497e+23    2.27916e+14    0.00000e+00
    4.89100e-04    2.34521e+25    5.74832e+24    5.81685e+25    2.59452e+23    2.51366e+14    0.00000e+00
    5.14500e-04    2.23496e+25    4.24969e+25    5.63951e+25    2.80586e+23    2.77208e+14    0.00000e+00
